names,scores,logfoldchanges,pvals,pvals_adj,rank_score
PACS1,19.515778,2.3366613,8.063215895448251e-85,2.868745611675116e-82,19.515778
ARL15,19.505526,3.0070224,9.854057750320611e-85,3.4432893224691736e-82,19.505526
PRKCB,19.484322,2.116705,1.491416490021695e-84,5.1200066450428996e-82,19.484322
DDX39B,19.439196,2.059496,3.597665033204765e-84,1.213777747754325e-81,19.439196
COP1,19.311155,2.3169432,4.327795740531231e-83,1.4353611364527987e-80,19.311155
HNRNPD,19.27508,1.642918,8.696697037035699e-83,2.8362827936785758e-80,19.27508
CHST11,19.24242,2.3294702,1.6339629643563255e-82,5.2415388994302586e-80,19.24242
RABGAP1L,19.169636,1.9941918,6.637263908636981e-82,2.0948061316807814e-79,19.169636
UBE2M,19.127989,3.311407,1.476610989394401e-81,4.586400609598356e-79,19.127989
SKAP1,19.109571,1.6035392,2.1018877343144709e-81,6.426521747666494e-79,19.109571
ARIH1,19.032862,2.4523647,9.113740608166126e-81,2.7053519052236103e-78,19.032862
FYN,19.032799,1.8118774,9.124756017209642e-81,2.7053519052236103e-78,19.032799
RASA2,18.977354,2.0748947,2.6248345677075802e-80,7.666084003119691e-78,18.977354
FBXO11,18.967924,2.83422,3.140661072299497e-80,8.982104506165347e-78,18.967924
PICALM,18.967482,2.2297683,3.1672384041568323e-80,8.982104506165347e-78,18.967482
GLS,18.918556,2.2112992,8.022159738416498e-80,2.210952419173719e-77,18.918556
CDV3,18.85729,1.9000305,2.5600962661727452e-79,6.8624607858175725e-77,18.85729
GLRX5,18.854506,2.5083702,2.6985170696045733e-79,7.135754326759769e-77,18.854506
LRBA,18.826405,2.028584,4.588861384618393e-79,1.1972645276561695e-76,18.826405
ARID1B,18.790201,2.0469875,9.08351709919361e-79,2.3387666131186915e-76,18.790201
BRD7,18.781466,2.1918824,1.0708141677817234e-78,2.7212586539159434e-76,18.781466
ABHD17A,18.762035,2.1001248,1.5437194278134577e-78,3.872756636340223e-76,18.762035
PTEN,18.751719,2.2257762,1.8743242845625058e-78,4.6426300759897606e-76,18.751719
UTRN,18.717289,1.9720578,3.5791261815797024e-78,8.754542640143953e-76,18.717289
ZFAND3,18.702795,2.3753521,4.697681367144371e-78,1.1348670245960625e-75,18.702795
ARHGEF18,18.608173,3.093861,2.758626082184447e-77,6.583023801973813e-75,18.608173
RPS10,18.552856,2.812672,7.733117832644538e-77,1.8231524066167264e-74,18.552856
RANBP9,18.54925,2.4643395,8.26996997069867e-77,1.9265091950789475e-74,18.54925
TRAPPC10,18.535387,2.6208258,1.0701538112242475e-76,2.463619973886597e-74,18.535387
VPS13B,18.4914,2.3161209,2.4218420000195544e-76,5.510535378649144e-74,18.4914
RPS2,18.468742,1.0558784,3.68576300642693e-76,8.29000120801864e-74,18.468742
ANKRD44,18.446083,1.6889936,5.606433561387191e-76,1.246666953741188e-73,18.446083
RAPGEF1,18.41045,2.4566095,1.0831916288683397e-75,2.3550993104106303e-73,18.41045
ALYREF,18.377665,3.3285708,1.983248200562245e-75,4.264637449296924e-73,18.377665
