names,scores,logfoldchanges,pvals,pvals_adj,rank_score
MBIP,6.7661686,1.0895197,1.3223765819632484e-11,1.3669447942872079e-10,6.7661686
GPR89B,6.765179,1.256357,1.3314450521876225e-11,1.374866320908042e-10,6.765179
BIN3,6.7650266,1.0046979,1.3328455969819118e-11,1.3755866372226818e-10,6.7650266
DEXI,6.758786,2.500756,1.3915271398358334e-11,1.4338811517802838e-10,6.758786
ORC5,6.7555137,1.1166852,1.4233029781791449e-11,1.4650811508158606e-10,6.7555137
CLEC16A,6.754524,1.1871301,1.4330487586544475e-11,1.4743374400289287e-10,6.754524
LINC01572,6.7424994,2.4719577,1.556850452763897e-11,1.5958328789776814e-10,6.7424994
SESTD1,6.7397594,2.2468674,1.5864909913450074e-11,1.6228152492754366e-10,6.7397594
PCBD2,6.729028,1.2109894,1.707997093059666e-11,1.7443678036008115e-10,6.729028
TVP23C,6.7281914,1.7608048,1.7178505660223323e-11,1.753515903804121e-10,6.7281914
BAIAP2L1,6.7278867,4.183602,1.721447430405992e-11,1.7562712887478862e-10,6.7278867
ZRANB3,6.727811,1.9982572,1.7223477981811346e-11,1.7562741904538012e-10,6.727811
KSR1,6.7243857,2.7725616,1.7633451453144784e-11,1.795272518393013e-10,6.7243857
OSBPL11,6.7176886,1.71348,1.8462978919802524e-11,1.8758233203670603e-10,6.7176886
TTC21B,6.7106867,1.3332661,1.9371055125530356e-11,1.9670617887720706e-10,6.7106867
TET3,6.7074904,2.0133946,1.9800014223155403e-11,2.0095782070472247e-10,6.7074904
PRKACA,6.6960745,1.555708,2.1409288090017862e-11,2.1661683006487566e-10,6.6960745
TRERF1,6.695998,1.0973105,2.142043493831902e-11,2.1661760768631865e-10,6.695998
ZNF346,6.6755257,1.3235368,2.4634770565276138e-11,2.4835300897543713e-10,6.6755257
CCDC138,6.673775,1.916774,2.4930554352126336e-11,2.510762159353619e-10,6.673775
RMND5A,6.672329,1.1270524,2.517751725131493e-11,2.531724859063364e-10,6.672329
NCAPD3,6.6661644,1.0628215,2.625749878857148e-11,2.637611582622006e-10,6.6661644
PFKFB3,6.6611414,1.2870936,2.7170897552516204e-11,2.720983230847682e-10,6.6611414
GNA12,6.6569557,2.5999458,2.795576025196656e-11,2.796719410074037e-10,6.6569557
AXIN1,6.6498017,1.2209468,2.934883870083725e-11,2.930092222948894e-10,6.6498017
THSD4-AS1,6.645235,4.407093,3.027332595691578e-11,3.0177709746557715e-10,6.645235
AVEN,6.633819,3.1475704,3.271103993318057e-11,3.2475374399415393e-10,6.633819
FRMD4B,6.6264367,1.4284045,3.43886357744408e-11,3.408899821855408e-10,6.6264367
RAB11FIP2,6.619511,1.4666101,3.603884941336037e-11,3.5616576026294733e-10,6.619511
SLAIN1,6.6132703,1.4829164,3.7592064450325286e-11,3.709538664467802e-10,6.6132703
LARP4,6.6119766,1.0696359,3.792217532167136e-11,3.740227453097102e-10,6.6119766
ARID3B,6.609161,1.1858643,3.865048786012414e-11,3.810139780588963e-10,6.609161
EID2,6.60155,1.8099192,4.06880728420387e-11,4.002937201473169e-10,6.60155
