ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0061983	meiosis II cell cycle process	3/350	15/18614	0.00253521911874919	0.082793012935152	0.0775433937975315	MASTL/BUB1B/BUB1	3
GO:0120305	regulation of pigmentation	3/350	15/18614	0.00253521911874919	0.082793012935152	0.0775433937975315	VPS33A/BCL2L11/ZEB2	3
GO:0051302	regulation of cell division	10/350	187/18614	0.00291529645868443	0.0943070901587634	0.0883274031325343	PKP4/ECT2/KIF20A/ASPM/OOEP/PRKCE/CIT/PRC1/TEX14/BRCA2	10
GO:0110020	regulation of actomyosin structure organization	7/350	104/18614	0.00349948903506398	0.11214717664705	0.105036311322973	RHOC/PIK3R2/TGFBR1/ECT2/ANKRD23/NF2/ALMS1	7
GO:0000712	resolution of meiotic recombination intermediates	3/350	17/18614	0.00368487722150272	0.11592150451865	0.108571322093721	FANCM/RMI1/CENPS	3
GO:0044539	long-chain fatty acid import into cell	3/350	17/18614	0.00368487722150272	0.11592150451865	0.108571322093721	SLC27A2/ACSL1/SLC27A4	3
GO:0007163	establishment or maintenance of cell polarity	11/350	226/18614	0.00378860681905152	0.118101207113888	0.110612817272021	PARD6A/CORO7/CTNNA1/LLGL2/KIF2C/NDC80/OOEP/DYNLT1/RAB10/ABL2/MARK2	11
GO:0000038	very long-chain fatty acid metabolic process	4/350	35/18614	0.00406142750802461	0.124344954687646	0.116460670366382	SLC27A2/ACSL1/SLC27A4/HACD3	4
GO:0006301	postreplication repair	4/350	35/18614	0.00406142750802461	0.124344954687646	0.116460670366382	POLE2/PCLAF/POLH/RAD18	4
GO:0002520	immune system development	10/350	197/18614	0.00422085501128693	0.12808240560799	0.119961142426049	IRAK3/BCL6/POLQ/TGFBR1/BCL2L11/ICOS/SRF/SHLD2/ATAD5/IL2RA	10
GO:0007131	reciprocal meiotic recombination	5/350	57/18614	0.00429608913831381	0.128098170915461	0.119975908109798	FANCM/BRIP1/RMI1/CENPS/MRE11	5
GO:0140527	reciprocal homologous recombination	5/350	57/18614	0.00429608913831381	0.128098170915461	0.119975908109798	FANCM/BRIP1/RMI1/CENPS/MRE11	5
GO:0000076	DNA replication checkpoint signaling	3/350	18/18614	0.00436081817016183	0.128907288840387	0.120733722660288	DNA2/CDC45/ORC1	3
