"group","gene","scores","logfoldchanges","pvals","pvals_adj","unique_group"
"SKPP","COL17A1",4.2405267,3.0029433,2.22995745047583e-05,3.91457857638029e-05,"SKPP_unique_upregulated"
"SKPP","TSPAN8",4.2403064,3.1577013,2.23215100932912e-05,3.91772633873461e-05,"SKPP_unique_upregulated"
"SKPP","SEMA3G",4.23841,4.0200067,2.251082945138e-05,3.94989159527084e-05,"SKPP_unique_upregulated"
"SKPP","APOBEC3B",4.2149777,1.6469052,2.49802631916686e-05,4.37338990905047e-05,"SKPP_unique_upregulated"
"SKPP","CYP3A7",4.2120876,2.2262664,2.53021079388614e-05,4.42577677793546e-05,"SKPP_unique_upregulated"
"SKPP","DSC2",4.17789,1.5142127,2.94225895107999e-05,5.13412904893288e-05,"SKPP_unique_upregulated"
"SKPP","GABRA6",4.109832,20.000473,3.95947755758251e-05,6.8601962853528e-05,"SKPP_unique_upregulated"
"SKPP","ZNF32-AS1",4.109832,20.003212,3.95947755758251e-05,6.8601962853528e-05,"SKPP_unique_upregulated"
"SKPP","CEACAM3",4.1082373,2.5485675,3.98690458689162e-05,6.9056171730856e-05,"SKPP_unique_upregulated"
"SKPP","EME1",4.0854,1.5599793,4.40009619191241e-05,7.60677465176624e-05,"SKPP_unique_upregulated"
"SKPP","SAMSN1-AS1",4.076659,2.7563837,4.56873977830344e-05,7.89134963208066e-05,"SKPP_unique_upregulated"
"SKPP","LYPD2",4.0765743,2.4155147,4.57040471904349e-05,7.89352864450511e-05,"SKPP_unique_upregulated"
"SKPP","SKOR1",4.0747705,1.8483152,4.60597893339846e-05,7.95426668155864e-05,"SKPP_unique_upregulated"
"SKPP","ACOX2",4.0711436,4.499204,4.67828950290753e-05,8.07557948067171e-05,"SKPP_unique_upregulated"
"SKPP","WASHC5-AS1",4.055389,2.3278277,5.00509144210844e-05,8.62600223174018e-05,"SKPP_unique_upregulated"
"SKPP","PRSS51",3.996831,1.8414537,6.41961335114315e-05,0.000109979858216748,"SKPP_unique_upregulated"
"SKPP","PTPRN",3.9900255,1.989488,6.60662124912447e-05,0.000113094536438516,"SKPP_unique_upregulated"
"SKPP","PAK6",3.9890416,1.8626283,6.63408268221792e-05,0.000113554697275753,"SKPP_unique_upregulated"
"SKPP","CCDC83",3.9768248,1.8813235,6.98416243425371e-05,0.000119452924144285,"SKPP_unique_upregulated"
"SKPP","LINC02327",3.9443216,2.5425782,8.00261921139644e-05,0.000136383254423102,"SKPP_unique_upregulated"
"SKPP","DEPP1",3.9348059,20.462934,8.32639573731531e-05,0.000141765345678053,"SKPP_unique_upregulated"
"SKPP","PANX2",3.9348059,19.878317,8.32639573731531e-05,0.000141765345678053,"SKPP_unique_upregulated"
"SKPP","PHLDA3",3.9314451,1.5789531,8.44367706575217e-05,0.000143712162148942,"SKPP_unique_upregulated"
"SKPP","DKKL1",3.927075,1.517465,8.59852088285707e-05,0.000146271282826869,"SKPP_unique_upregulated"
"SKPP","SYN1",3.90766,4.282905,9.31943429437191e-05,0.000158245999889161,"SKPP_unique_upregulated"
"SKPP","BSN",3.907106,2.5318325,9.34082275503732e-05,0.000158567901162983,"SKPP_unique_upregulated"
"SKPP","TEX38",3.9070768,2.4328575,9.34194974666782e-05,0.000158573276060718,"SKPP_unique_upregulated"
"SKPP","PBK",3.9026186,2.0076253,9.51575406565339e-05,0.000161411473263441,"SKPP_unique_upregulated"
"SKPP","LINC01926",3.9023542,1.8581455,9.52616352980417e-05,0.000161566494967203,"SKPP_unique_upregulated"
"SKPP","VMO1",3.8970263,5.1117954,9.73810120972972e-05,0.000165025690198312,"SKPP_unique_upregulated"
"SKPP","RTP5",3.8534238,1.577428,0.000116477497204577,0.000196638052394026,"SKPP_unique_upregulated"
"SKPP","PRDM16",3.8414435,1.7715557,0.000122312857589475,0.000206311352237812,"SKPP_unique_upregulated"
"SKPP","DCC",3.8212726,1.8449107,0.000132764731694397,0.000223478732885675,"SKPP_unique_upregulated"
"SKPP","SYCE3",3.7750857,2.9730532,0.000159952669921194,0.000268182147632416,"SKPP_unique_upregulated"
"SKPP","MT1H",3.7516346,20.305895,0.00017568534901251,0.000293253511002031,"SKPP_unique_upregulated"
"SKPP","PCDHGB1",3.7516346,19.715355,0.00017568534901251,0.000293253511002031,"SKPP_unique_upregulated"
"SKPP","KCNK9",3.7406824,1.6504588,0.000183521347349581,0.000306046167115783,"SKPP_unique_upregulated"
